Date,Close,Open_lag1,High_lag1,Low_lag1,Close_lag1,Adj Close_lag1,Volume_lag1,AROONOSC_lag1,RSI_lag1,RSI1_lag1,DX_lag1,AD_lag1,OBV_lag1,ATR_lag1,NATR_lag1,TRANGE_lag1,CDLENGULFING_lag1,CDLHANGINGMAN_lag1,CDLSHOOTINGSTAR_lag1,CDLHAMMER_lag1,
01/01/2018,13657.2002,12897.7002,14377.40039,12755.59961,14156.40039,14156.40039,12136299520,-50,43.62275453,43.79470507,85.72326476,81618762156,59469929984,1846.014394,12.42670821,1759.17457,0,0,0,0,
02/01/2018,14982.09961,14112.2002,14112.2002,13154.7002,13657.2002,13657.2002,10291200000,-50,39.69068849,40.4243007,85.72326476,82129291660,49178729984,1705.295361,12.48476432,1705.069257,0,0,0,0,
03/01/2018,15201,13625,15444.59961,13163.59961,14982.09961,14982.09961,16846600192,-50,53.14239088,51.88893754,65.16676724,92144192958,66025330176,1801.246134,11.65529007,1746.207168,1,0,0,0,
04/01/2018,15599.2002,14978.2002,15572.7998,14844.5,15201,15201,16871900160,-33.33333333,55.12677191,53.60972992,69.87638424,91789755437,82897230336,1622.421746,11.00914084,1673.499499,0,0,0,0,
05/01/2018,17429.5,15270.7002,15739.7002,14522.2002,15599.2002,15599.2002,21783199744,83.33333333,58.92402066,56.88266336,1.127803778,1.08545E+11,1.0468E+11,1554.934788,10.51930923,1640.928106,0,-1,0,0,
06/01/2018,17527,15477.2002,17705.19922,15202.7998,17429.5,17429.5,23840899072,100,71.99522968,68.71783635,83.34358045,1.27133E+11,1.28521E+11,1712.845559,9.767702865,1702.461771,0,0,0,0,
07/01/2018,16477.59961,17462.09961,17712.40039,16764.59961,17527,17527,18314600448,100,72.55354271,69.24252603,83.44445574,1.38283E+11,1.46836E+11,1585.338096,9.405816252,1648.557414,0,0,0,0,
08/01/2018,15170.09961,17527.30078,17579.59961,16087.7002,16477.59961,16477.59961,15866000384,83.33333333,57.69702531,57.19616115,14.22037843,1.30709E+11,1.3097E+11,1569.764983,9.936930112,1637.367557,-1,0,0,0,
09/01/2018,14595.40039,16476.19922,16537.90039,14208.2002,15170.09961,15170.09961,18413899776,66.66666667,44.17321373,45.65141008,78.31946381,1.27501E+11,1.12556E+11,1696.420851,11.11937253,1686.819889,0,0,0,0,
10/01/2018,14973.2998,15123.7002,15497.5,14424,14595.40039,14595.40039,16659999744,-33.33333333,39.31293365,41.36944532,78.31946381,1.16161E+11,95896029696,1592.600709,11.25704867,1643.011325,0,0,0,0,
11/01/2018,13405.7998,14588.5,14973.2998,13691.2002,14973.2998,14973.2998,18500800512,-66.66666667,44.16087916,45.30510964,89.987692,1.34662E+11,1.14397E+11,1540.850526,10.80077163,1617.231917,0,0,0,1,
12/01/2018,13980.59961,14968.2002,15018.7998,13105.90039,13405.7998,13405.7998,16534099968,-83.33333333,31.59707736,34.19661352,94.61623338,1.23312E+11,97862730240,1602.858674,12.22121058,1638.351024,0,0,0,0,
13/01/2018,14360.2002,13453.90039,14229.90039,13158.09961,13980.59961,13980.59961,12065699840,-83.33333333,39.20773209,40.44388389,94.61623338,1.29765E+11,1.09928E+11,1514.349025,11.42928911,1597.883149,0,0,0,0,
14/01/2018,13772,13952.40039,14659.5,13952.40039,14360.2002,14360.2002,12763599872,-66.66666667,44.13367082,44.5033235,17.43880733,1.31724E+11,1.22692E+11,1379.807456,10.68408332,1534.255754,0,0,0,0,
15/01/2018,13819.7998,14370.7998,14511.7998,13268,13772,13772,11084099584,-50,38.35483547,39.62116337,58.56874765,1.29622E+11,1.11608E+11,1357.139514,10.98975385,1513.5089,-1,0,0,0,
16/01/2018,11490.5,13767.2998,14445.5,13641.7002,13819.7998,13819.7998,12750799872,-33.33333333,39.13205042,40.24268804,58.56874765,1.22522E+11,1.24359E+11,1264.916229,10.58492463,1462.815393,0,0,0,0,
17/01/2018,11188.59961,13836.09961,13843.09961,10194.90039,11490.5,11490.5,18853799936,-83.33333333,22.5251114,25.38617342,97.0486354,1.17059E+11,1.05505E+11,1662.130061,14.08915398,1618.914238,-1,0,0,0,
18/01/2018,11474.90039,11431.09961,11678,9402.290039,11188.59961,11188.59961,18830600192,-100,21.13040034,24.04396161,97.93198568,1.27791E+11,86674330112,1764.393377,14.88862124,1665.828218,0,0,0,0,
19/01/2018,11607.40039,11198.7998,12107.2998,10942.5,11474.90039,11474.90039,15020399616,-66.66666667,26.32193336,28.24157427,49.47051699,1.26501E+11,1.01695E+11,1664.461115,14.20526906,1630.040474,0,0,0,0,
20/01/2018,12899.2002,11429.7998,11992.7998,11172.09961,11607.40039,11607.40039,10740400128,-66.66666667,28.92033308,30.32071495,49.47051699,1.27154E+11,1.12435E+11,1523.834295,13.54506954,1572.230454,0,0,0,0,
21/01/2018,11600.09961,11656.2002,13103,11656.2002,12899.2002,12899.2002,11801700352,-50,49.68164372,47.59230014,57.68926071,1.35631E+11,1.24237E+11,1519.128514,12.14615479,1566.756823,0,0,0,0,
22/01/2018,10931.40039,12889.2002,12895.90039,11288.2002,11600.09961,11600.09961,9935179776,-33.33333333,36.73365449,36.86984613,6.887425688,1.29551E+11,1.14302E+11,1534.440429,13.53365146,1569.91705,0,0,0,0,
23/01/2018,10868.40039,11633.09961,11966.40039,10240.2002,10931.40039,10931.40039,10537400320,-16.66666667,31.64017528,32.47591078,62.29634313,1.27452E+11,1.03764E+11,1566.40039,14.46365584,1581.080131,0,0,0,0,
24/01/2018,11359.40039,10944.5,11377.59961,10129.7002,10868.40039,10868.40039,9660609536,50,31.15183227,32.05600843,66.82454223,1.29229E+11,94103640576,1513.316894,14.32852538,1557.281509,0,0,0,0,
25/01/2018,11259.40039,10903.40039,11501.40039,10639.7998,11359.40039,11359.40039,9940989952,-50,39.83629328,39.20349446,31.44981356,1.35893E+11,1.04045E+11,1404.697509,13.27173937,1507.590014,0,0,0,0,
26/01/2018,11171.40039,11421.7002,11785.7002,11057.40039,11259.40039,11259.40039,8873169920,-50,38.64493386,38.24746728,33.40619198,1.31942E+11,95171460608,1291.964558,12.89523756,1451.926428,0,0,0,0,
27/01/2018,11440.7002,11256,11656.7002,10470.2998,11171.40039,11171.40039,9746199552,-50,37.46184605,37.31327078,56.08423792,1.33715E+11,85425261056,1274.37053,12.82704256,1432.960282,0,0,0,0,
28/01/2018,11786.2998,11174.90039,11614.90039,10989.2002,11440.7002,11440.7002,7583269888,-33.33333333,43.78208837,42.34132946,56.08423792,1.37076E+11,93008530944,1166.258808,12.02110731,1375.298848,0,0,0,0,
29/01/2018,11296.40039,11475.2998,12040.2998,11475.2998,11786.2998,11786.2998,8350360064,83.33333333,51.35322642,48.52320454,46.98618273,1.37918E+11,1.01359E+11,1071.815608,11.19852525,1319.891759,0,0,0,0,
30/01/2018,10106.2998,11755.5,11875.59961,11179.2002,11296.40039,11296.40039,7107359744,83.33333333,41.78158733,41.21527618,23.41581965,1.33203E+11,94251531264,1009.246242,11.28993792,1275.356592,0,0,0,0,
31/01/2018,10221.09961,11306.7998,11307.2002,10036.2002,10106.2998,10106.2998,8637859840,-33.33333333,27.0720784,28.88563845,83.69796539,1.25518E+11,85613671424,1052.871869,12.61634259,1275.045407,0,0,0,0,
01/02/2018,9170.540039,10108.2002,10381.59961,9777.419922,10221.09961,10221.09961,8041160192,-50,29.92768534,31.20182373,87.98159129,1.29287E+11,93654831616,978.0898385,12.00581614,1227.126427,0,0,0,0,
02/02/2018,8830.75,10237.2998,10288.7998,8812.280273,9170.540039,9170.540039,9959400448,-66.66666667,20.92849597,23.15138865,95.93974312,1.2416E+11,83695431168,1061.161454,13.57542974,1244.94022,-1,0,0,0,
03/02/2018,9174.910156,9142.280273,9142.280273,7796.490234,8830.75,8830.75,12726899712,-83.33333333,18.74123919,21.09736975,98.30386408,1.30995E+11,70968531456,1113.309512,14.20221763,1254.162333,0,0,0,1,
04/02/2018,8277.009766,8852.120117,9430.75,8251.629883,9174.910156,9174.910156,7263790080,-83.33333333,27.89984082,28.58451904,49.02151123,1.35107E+11,78232321536,1124.277947,13.61105617,1248.802175,0,0,0,0,
05/02/2018,6955.27002,9175.700195,9334.870117,8031.220215,8277.009766,8277.009766,7073549824,-66.66666667,20.62279245,22.17869093,63.05290816,1.30701E+11,71158771712,1154.173273,15.13493284,1252.71987,-1,0,0,0,
06/02/2018,7754,8270.540039,8364.839844,6756.680176,6955.27002,6955.27002,9285289984,-100,14.1180789,16.01505062,91.1677887,1.23709E+11,61873481728,1229.837672,18.37611513,1278.108427,0,0,0,0,
07/02/2018,7621.299805,7051.75,7850.700195,6048.259766,7754,7754,13999800320,-100,30.10491806,29.77439373,95.21525053,1.36206E+11,75873282048,1325.271465,16.96622018,1315.560713,0,0,0,0,
08/02/2018,8265.589844,7755.490234,8509.110352,7236.790039,7621.299805,7621.299805,9169280000,-83.33333333,29.02764577,28.85800262,5.417944501,1.32579E+11,66704002048,1316.446273,17.22110593,1312.472113,0,0,0,0,
09/02/2018,8736.980469,7637.859863,8558.769531,7637.859863,8265.589844,8265.589844,9346750464,-50,41.27173098,39.41954028,1.422147361,1.35975E+11,76050752512,1253.283515,15.55468215,1285.686228,0,0,0,0,
10/02/2018,8621.900391,8271.839844,8736.980469,7884.709961,8736.980469,8736.980469,6784820224,-50,48.99700019,46.23293768,32.74379295,1.42759E+11,82835572736,1186.448014,14.36111671,1254.727962,0,0,0,0,
11/02/2018,8129.970215,8720.080078,9122.549805,8295.469727,8621.900391,8621.900391,7780960256,-33.33333333,47.1789126,44.7979272,71.68011145,1.4112E+11,75054612480,1126.553358,14.19851343,1224.181685,0,0,0,0,
